SK_ID_CURR,TARGET
149741,1
363290,0
436006,1
377703,0
188624,1
454397,1
358007,0
140209,1
234837,0
269983,1
435574,0
299809,1
386485,1
269948,0
280976,1
238068,1
304049,1
414990,1
217203,0
376182,0
105944,1
141357,1
309630,0
242368,1
442101,1
398068,0
200440,1
130746,0
391997,0
290025,0
343846,0
126485,1
104163,1
362585,1
208568,0
223220,0
115449,0
157918,0
235847,1
424643,1
260115,0
101029,1
209683,0
332916,0
170649,0
148754,1
322016,1
410057,0
400391,1
303311,1
306375,1
349106,0
276461,0
410126,0
150037,1
454632,1
174402,1
261588,1
348830,1
340159,1
389531,1
162563,1
334705,0
304569,0
310542,1
308062,0
261605,0
322239,0
117154,1
364023,0
348864,0
345535,1
228272,1
418424,1
383965,0
145408,0
427237,0
264554,1
174096,0
354555,0
410575,0
186995,1
283181,1
434215,1
337331,1
424061,0
232858,0
176976,0
289643,1
261786,0
160826,0
148685,0
184353,1
129079,0
169069,1
196926,1
221111,1
167852,0
297652,1
181938,1
293370,1
421379,0
332561,0
340723,1
229097,0
175449,0
193445,1
330554,0
302817,1
424238,1
175232,1
390273,0
187554,0
283526,1
422721,1
416240,1
259330,0
434371,1
382582,1
197878,0
189555,0
273167,1
241255,0
168675,1
260249,0
181438,1
247375,1
426054,1
264562,0
133340,1
325719,1
447395,0
452598,0
311400,1
341080,1
373081,1
404162,1
242418,1
237969,0
360771,1
231795,0
146290,0
421260,0
315059,0
282509,0
182155,1
107722,1
396388,1
330258,1
341315,1
320906,1
212236,0
235119,0
292404,1
229696,1
258282,0
215108,0
274567,1
432205,1
353839,0
327514,1
285013,0
442313,0
404195,1
438392,0
309398,1
219282,1
260308,1
135148,0
445234,1
168834,0
329599,1
362760,1
163956,1
445122,1
251032,1
351312,0
302118,1
359576,0
171282,0
352937,0
449162,0
421092,1
141802,1
108833,1
148965,0
121902,1
100242,0
169654,0
276094,0
415451,1
248819,0
389326,0
210540,1
439749,0
320069,0
393996,0
198943,1
311392,1
291040,0
173126,0
442873,1
319254,0
426528,0
200805,0
173889,0
116171,0
155997,1
115874,1
125263,1
361455,0
307117,1
199346,1
444746,1
211032,0
201396,1
252107,0
244492,1
287818,1
316442,0
366020,1
126061,0
382315,0
314882,1
448535,1
280609,0
178743,0
125823,0
434572,1
440279,1
140307,0
347288,0
210124,0
313107,0
190816,1
375291,0
346276,0
156775,1
437197,1
317309,1
122119,1
261788,0
420159,0
193244,1
124358,1
446769,1
356875,0
361425,1
356234,1
393083,1
121409,0
319077,0
316115,1
379361,1
133822,1
220485,1
330520,0
401779,0
437590,1
118908,0
283935,0
147601,0
121634,1
171054,1
207837,1
112485,1
277914,0
440089,1
403042,0
157589,1
252415,1
300311,0
258099,0
268428,0
236746,1
222744,0
108294,0
286390,0
340617,1
401079,1
140473,0
281105,0
398022,1
368368,1
273618,0
238835,0
451405,1
220268,0
111236,0
229372,1
214909,1
424465,1
425753,0
187107,0
355551,0
150875,1
228360,0
158449,1
256827,0
452482,1
240143,0
345371,1
367140,1
425216,1
306460,0
261919,1
378545,1
376784,1
321675,1
413821,0
115870,0
150067,1
444215,0
455421,1
127234,1
422385,0
145471,1
267867,1
342040,1
232639,1
379752,1
107047,1
128773,1
226072,1
424147,1
371123,1
418636,0
176632,0
446395,1
189140,1
250851,1
416391,1
245881,1
296736,0
193826,1
116843,1
180901,1
212322,1
139141,1
267885,1
252227,0
405466,0
361985,1
103758,1
244944,0
125301,1
245826,0
127394,1
223321,0
433192,1
436795,0
311093,0
343150,1
147034,0
187683,0
306945,0
248625,1
179828,1
293811,1
429605,0
343104,1
158792,1
229537,1
404533,0
455507,1
269784,1
436527,0
284372,0
333637,1
199780,1
362103,1
262900,0
287481,1
422925,1
190888,1
313046,0
171286,1
427096,1
197712,1
133508,1
183904,0
163168,1
125740,0
394614,0
443207,1
277385,0
432854,0
175118,0
177634,1
359767,0
198443,0
365637,0
141073,1
352545,1
162456,0
207216,1
288483,1
134994,0
179586,1
249799,0
118095,0
415596,1
390596,1
112781,0
123894,1
128093,0
355216,1
305353,1
455753,1
328893,1
173741,1
169823,1
374097,1
132210,1
424435,0
228112,0
359167,0
221299,0
349867,1
346581,0
121441,1
349412,1
444267,1
236539,1
450175,1
336834,1
341376,0
447152,1
120656,1
326844,1
319431,1
445901,0
452186,0
366510,1
318465,0
123406,0
290237,1
120973,1
280763,1
416911,0
365876,0
381252,1
145116,1
187816,0
337507,1
222412,1
324102,0
201809,0
204825,0
388563,0
140171,0
392850,0
210311,1
338217,1
109751,0
233440,1
152733,1
224331,0
385109,0
162466,0
231766,1
283610,0
192476,1
399183,1
161633,1
141026,1
399379,1
117699,0
385533,1
209400,1
256262,1
288578,1
380753,0
381351,0
421320,0
100930,0
229792,1
301172,1
180390,1
355215,0
342524,0
446559,0
263618,0
343267,1
104662,1
172455,1
170858,1
105930,1
284546,0
236789,1
432973,0
185541,0
402132,0
290616,1
264713,0
107945,1
119720,1
107118,0
312523,0
323945,0
117061,0
386447,0
293564,1
123269,1
199101,1
230146,1
382780,1
338144,1
296473,0
122773,0
236786,1
130899,0
187811,1
358190,0
212163,0
317415,1
341725,1
204250,1
267875,1
173758,0
159830,0
210119,0
211626,1
267566,0
429899,1
401555,1
437600,1
